"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
3401,47562,118523,30131,23351,23208,1776,2947,8.6003952735377,1964,1549,38430,118523,118523,113896,118258,118523,118523,118523,118523,118523,118523,118523,11978,34610,364,10,109470,108445,55065,118523,118421,118523,118523,118518,55233,6533,9160,118523,118523,5,0,0,69,268,61,419,21,28,31,346,83,153,33,0,6123,9,0,40,312,487,0,15118,21593,17639,205,0,0,0,7,56,"34"
3402,15638,48517,19601,15359,7644,519,789,8.36551988745364,871,663,22665,48517,48517,46126,48342,48517,48517,48517,48460,48517,48517,48517,6359,21152,793,3,45821,45342,19785,48517,48444,48517,48517,48516,19842,1914,2618,48517,48517,0,0,5,70,55,85,35,128,47,54,630,192,462,99,6,4803,15,0,229,172,218,0,8150,7265,8745,60,22,9,0,157,360,"34"
3403,7030,17332,6601,5732,2938,198,147,7.89587482219061,388,265,7465,17332,17332,16509,17169,17332,17332,17332,17332,17332,17332,17332,2499,6977,284,22,15907,15798,6594,17332,17327,17332,17332,17332,6641,635,428,17332,17332,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,3574,4340,0,0,0,0,0,0,"34"
3404,24297,82375,36404,26024,16974,1729,4337,8.51154463514014,1978,1502,37831,82375,82375,81171,81638,82375,82375,82375,82353,82375,82375,82375,12702,33309,1394,9,77513,76392,47714,82375,82237,82375,82375,82375,47946,6431,13775,82375,82375,12,43,33,86,416,243,232,62,4,52,510,203,212,56,0,264,39,0,154,458,1670,0,2551,20211,20208,61,0,10,0,45,635,"34"
3405,14675,37927,12096,10145,6591,360,460,8.52095400340716,263,228,14946,37927,37927,36622,37746,37927,37927,37927,37925,37927,37927,37927,4521,13983,287,36,35117,34668,15681,37927,37891,37926,37926,37926,15748,1249,1524,37926,37926,0,0,6,98,146,24,16,38,54,46,472,80,141,123,0,3065,4,0,55,271,149,0,16874,4678,4879,9,0,0,0,5,130,"34"
3407,32690,111879,46418,36425,17718,1240,2050,8.81119608442949,3709,2887,56787,111879,111879,109321,111297,111879,111879,111879,111879,111879,111879,111879,18307,50110,1583,70,106617,105659,50677,111879,111715,111879,111879,111879,50903,4819,7146,111877,111877,0,23,0,21,139,10,22,0,0,0,376,49,107,8,0,7002,0,0,171,71,407,0,6573,11510,18801,0,0,9,0,0,5,"34"
3408,11046,35970,10569,9544,5171,233,279,8.81070070613797,213,174,15802,35970,35970,34920,34916,35970,35970,35970,35970,35970,35970,35970,4717,14921,296,0,34600,34379,14676,35970,35947,35970,35970,35970,14709,951,1046,35970,35970,0,0,0,4,22,0,28,0,0,5,68,0,14,12,0,3473,0,0,13,22,47,2,2538,2909,2471,3,15,9,0,1,29,"34"
3409,15197,44492,11996,10135,5744,412,556,8.47351450944265,982,818,20031,44491,44491,41987,44137,44492,44492,44492,44491,44492,44492,44492,6616,18177,390,28,42745,42482,16082,44492,44320,44485,44485,44484,16143,1712,2030,44486,44480,0,0,8,246,123,41,290,27,16,16,116,66,138,25,2,3859,18,0,166,212,244,0,10937,5963,7015,54,10,3,0,34,124,"34"
3410,17773,51761,20156,17300,8072,597,1102,8.8591684015079,1399,1021,24164,51761,51761,49361,51178,51761,51761,51761,51758,51761,51761,51761,7474,21981,715,4,48566,48165,19779,51761,51436,51760,51760,51759,19845,2119,3635,51760,51761,0,11,0,366,127,1847,565,59,3,14,1128,49,782,70,14,3696,49,0,0,655,594,0,8049,12843,13556,255,0,2,0,11,153,"34"
3411,24952,86043,29359,24319,15758,1630,2462,8.49106284065406,2628,2040,41254,86043,86043,84238,85489,86043,86043,86043,86039,86043,86043,86043,13137,37338,1225,9,81653,80786,44706,86043,85929,86039,86037,86031,44852,6190,8481,86025,86022,12,27,8,626,634,226,178,51,133,92,3714,193,3439,31,10,7161,46,0,277,482,739,53,13016,17443,15693,255,14,3,1,24,522,"34"
