"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"3401040101",169,292,144,107,112,0,0,9.53254437869822,0,0,0,292,292,289,292,292,292,292,292,292,292,292,0,0,0,0,233,233,177,292,292,292,292,292,177,0,0,292,292,0,0,0,4,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,"34"
"3401040201",136,496,133,96,98,0,0,9.02205882352941,0,0,251,496,496,493,496,496,496,496,496,496,496,496,99,230,0,0,472,463,300,496,496,496,496,496,300,0,0,496,496,0,0,0,0,0,0,0,0,10,0,0,0,10,6,0,20,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,"34"
"3401040301",134,342,105,77,81,0,0,9.53731343283582,0,0,79,342,342,329,342,342,342,342,342,342,342,342,12,87,0,0,320,317,173,342,342,342,342,342,173,0,0,342,342,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,126,0,0,0,0,0,0,0,8,"34"
"3401040401",140,526,184,138,98,11,4,9.08571428571429,0,0,193,526,526,526,526,526,526,526,526,526,526,526,37,207,0,0,514,512,317,526,526,526,526,526,317,49,19,526,526,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,"34"
"3401040501",192,295,107,72,88,0,0,9.22916666666667,0,0,0,295,295,287,295,295,295,295,295,295,295,295,0,0,0,0,236,236,134,295,295,295,295,295,134,0,0,295,295,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,"34"
"3401040601",167,200,82,56,50,2,1,9.16766467065868,0,0,16,200,200,182,200,200,200,200,200,200,200,200,9,14,0,0,150,148,52,200,200,200,200,200,53,3,1,200,200,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,74,0,0,0,0,0,0,0,1,"34"
"3401040701",193,600,175,138,108,1,0,9.59585492227979,0,0,122,600,600,577,600,600,600,600,600,600,600,600,26,116,0,0,586,584,278,600,600,600,600,600,278,4,0,600,600,0,0,0,0,7,0,0,0,0,0,3,0,0,8,0,32,0,0,0,0,0,0,27,0,0,0,0,0,0,0,5,"34"
"3401040801",107,173,68,56,38,0,0,8.78504672897196,0,0,0,173,173,160,173,173,173,173,173,173,173,173,0,0,0,0,158,157,73,173,173,173,173,173,73,0,0,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,"34"
"3401040901",107,356,103,82,58,2,4,9.06542056074766,0,0,132,356,356,346,356,356,356,356,356,356,356,356,33,123,0,0,346,345,187,356,356,356,356,356,187,4,5,356,356,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,"34"
"3401041001",105,316,128,103,50,9,20,9.17142857142857,5,5,117,316,316,311,316,316,316,316,316,316,316,316,10,115,0,0,303,303,147,316,316,316,316,316,147,40,56,316,316,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,26,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,"34"
