"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
4201,3653,10296,3270,2580,0,1337,0,1017,335,2.94618081328294,0,0,0,17,104,80,39,852,13,14,493,24,115,0,4,121,6,0,81,331,744,13,232,484,525,43,199,136,39,17,91,"42"
4202,182,665,261,220,0,23,0,197,7,1.05825196017124,0,0,0,0,3,5,6,0,0,0,23,2,1,1,0,8,0,0,12,86,84,55,84,80,98,1,5,2,1,0,14,"42"
4203,710,2436,1328,993,0,839,0,223,6,2.28149986214502,0,0,0,7,19,1,8,12,232,213,602,4,8,5,0,35,3,0,5,42,198,0,67,480,441,1,2,4,0,3,5,"42"
4204,279,972,360,269,0,188,0,99,4,0.922464936044717,0,0,0,122,40,49,2,5,3,0,184,15,15,0,0,38,0,0,3,14,50,44,133,68,71,2,2,2,2,0,7,"42"
4205,437,1519,961,858,0,150,0,717,1,2.23094724251801,0,0,0,152,39,7,5,12,1,0,137,1,1,0,0,56,0,0,47,122,506,141,51,525,390,13,0,1,0,2,5,"42"
4206,71,203,140,127,0,3,0,124,0,1.53958055521881,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,3,123,0,13,22,0,0,0,0,0,0,"42"
4207,13,46,13,12,0,0,0,12,0,0.070364723818459,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,9,0,0,0,0,0,0,0,1,"42"
4208,623,1545,876,714,0,411,0,344,4,4.29499518768046,0,0,0,183,136,18,102,106,36,26,404,150,161,54,0,0,2,0,51,115,250,23,212,248,308,75,0,4,0,65,92,"42"
4209,862,3995,1660,1141,0,33,0,424,719,1.57775380956332,0,0,112,9,0,0,1,1,0,0,32,0,0,0,35,132,354,0,0,14,33,383,12,6,9,0,519,200,42,0,0,"42"
4210,528,1853,786,669,0,37,0,77,557,2.61317917268857,0,0,6,0,8,10,3,3,0,0,36,16,11,0,46,14,0,0,0,19,30,36,25,29,27,5,557,0,0,0,16,"42"
4211,41,149,80,63,0,0,0,63,0,0.331701153056389,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,33,28,24,24,30,0,0,0,0,0,0,"42"
4212,1125,3756,1449,1230,0,70,0,110,1052,4.82504315079241,0,0,298,2,0,3,0,58,4,4,13,1,55,1,138,99,0,0,0,26,35,58,32,42,48,0,1052,0,0,0,7,"42"
4213,19,52,20,15,0,0,0,14,1,0.0600192061459667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,0,1,0,1,0,0,"42"
4214,153,588,198,174,0,18,0,156,0,1.07327905255366,0,0,8,0,0,0,0,6,2,1,12,1,0,0,0,4,0,0,0,42,77,52,45,54,66,0,0,0,0,0,2,"42"
