"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"620102",1920,4851,1531,1245,1002,98,129,8.07239583333333,46,32,1936,4851,4851,4650,4365,4851,4851,4851,4851,4851,4851,4851,670,1649,104,25,4398,4347,2293,4851,4849,4851,4851,4851,2304,295,356,4851,4836,0,0,2,0,36,1873,69,0,0,4,5,0,5,4,59,127,0,0,37,29,161,37,534,421,662,0,39,0,0,0,0,"62"
"620103",3409,10621,3053,2719,1983,282,588,8.46553241419771,163,211,5265,10621,10621,10258,10614,10621,10621,10621,10616,10621,10621,10621,1832,4614,376,5,9816,9704,5018,10621,10621,10621,10621,10621,5036,919,1713,10621,10619,0,0,0,351,793,1282,10,29,945,1222,1106,488,380,7,26,27,6,0,98,21,395,5,1,3090,3728,0,5,0,0,91,104,"62"
"620104",4343,13633,4805,4339,2437,460,708,7.49090490444393,254,204,6647,13633,13633,13302,13416,13633,13633,13633,13633,13633,13633,13633,2098,5807,64,13,12864,12671,6640,13633,13611,13633,13633,13633,6696,1478,1949,13633,13633,7,11,31,420,67,537,57,19,41,14,42,239,27,3,0,674,2,0,288,477,778,0,1483,4750,4700,49,0,9,0,9,14,"62"
"620105",2582,6985,1672,1379,1369,134,247,8.01200619674671,63,105,2662,6985,6985,6748,6645,6985,6985,6985,6985,6985,6985,6985,734,2451,32,23,6446,6406,3346,6985,6985,6985,6985,6981,3358,429,618,6985,6985,0,5,0,57,189,162,3,0,0,0,452,280,95,0,59,25,0,0,83,19,248,0,0,1923,1796,0,86,3,2,0,0,"62"
"620106",1900,5929,1720,1367,1011,167,362,9.00157894736842,52,41,2626,5929,5929,5758,5909,5929,5929,5929,5929,5929,5929,5929,818,2359,0,0,5682,5616,2815,5929,5929,5929,5929,5929,2822,593,1083,5929,5929,0,0,0,2,14,0,7,0,5,5,155,0,0,24,0,641,0,0,0,0,0,283,2071,1227,1478,0,0,5,0,18,9,"62"
"620107",1696,5354,1582,1378,766,93,109,7.66155660377358,72,34,2560,5354,5354,5089,5315,5354,5354,5354,5354,5354,5354,5354,872,2225,179,0,5153,5104,2115,5354,5354,5354,5354,5354,2121,327,367,5354,5354,0,0,6,8,153,2049,0,0,0,0,327,0,159,0,0,339,12,0,82,81,884,0,3,1412,1327,0,0,0,0,0,0,"62"
"620110",1835,5685,1820,1592,933,60,95,8.0425068119891,40,40,2563,5685,5685,5410,5685,5685,5685,5685,5685,5685,5685,5685,912,2317,70,0,5404,5336,2504,5685,5679,5685,5685,5685,2517,239,227,5685,5685,0,0,0,54,85,1675,15,16,10,10,221,15,28,6,0,197,0,0,5,92,246,261,485,1529,1219,19,3,0,0,0,12,"62"
"620111",2290,6168,1425,1265,1194,227,302,7.8825327510917,79,42,2535,6168,6168,5859,6117,6168,6168,6168,6168,6168,6168,6168,803,2218,28,14,5645,5561,2681,6168,6167,6168,6168,6168,2688,643,860,6168,6168,0,0,4,97,171,268,147,39,0,0,1013,62,263,8,12,239,5,0,162,432,711,41,1277,2429,2343,272,0,4,0,93,39,"62"
"620112",2339,6770,1717,1382,1294,145,292,8.22744762719111,114,106,2893,6770,6770,6456,6711,6770,6770,6770,6770,6770,6770,6770,1035,2606,7,12,6251,6167,3123,6770,6770,6770,6770,6770,3138,472,799,6770,6770,0,0,0,5,5,138,0,9,0,0,37,2,11,0,0,250,0,0,8,0,10,3,1567,2019,1547,2,0,0,0,1,7,"62"
"620113",4713,13673,3284,2737,2636,226,702,8.14704010184596,293,299,5777,13673,13673,13053,13181,13673,13673,13673,13671,13671,13671,13671,1838,5162,200,4,12728,12549,6329,13673,13669,13673,13673,13673,6368,742,1859,13673,13671,0,0,0,25,147,2310,0,0,4,1,73,87,9,0,36,397,11,0,38,136,908,1,15,2153,2513,0,18,2,0,2,7,"62"
