"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"810103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81"
"810105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81"
"810106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81"
"810111",77,370,28,23,0,0,23,0,0,0.355377008652658,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1,2,0,7,0,0,0,0,3,0,"81"
"810115",133,709,62,50,0,0,50,0,0,0.611845325501713,0,0,0,0,0,18,0,5,1,9,3,0,0,0,0,50,0,0,0,3,6,0,9,5,31,1,0,0,0,7,0,"81"
"810116",269,1589,65,52,0,0,52,0,0,0.65590312815338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"81"
"810117",81,402,31,25,0,0,25,0,0,0.360958706323997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,"81"
"810118",2,12,6,4,0,0,4,0,0,0.104248110502997,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,"81"
"810151",72,293,32,25,0,0,25,0,0,0.363108206245461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,"81"
"810201",80,404,38,33,0,0,33,0,0,0.700190961171229,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,32,0,0,0,1,0,0,21,6,6,0,0,0,0,0,0,"81"
"810202",113,539,42,41,0,0,41,0,0,0.707140393239048,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,36,1,0,5,4,0,0,21,8,11,0,0,0,0,0,0,"81"
"810203",15,63,8,8,0,0,8,0,0,0.113186191284663,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,3,0,5,1,1,0,4,2,5,0,0,0,0,0,0,"81"
"810204",3,10,2,2,0,0,2,0,0,0.0307834385100816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,"81"
"810205",3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81"
"810206",24,116,17,16,0,0,16,0,0,0.37037037037037,0,0,0,0,2,5,0,0,4,3,6,2,3,0,4,0,2,0,10,7,0,0,10,6,13,0,0,1,0,1,0,"81"
"810251",10,41,5,4,0,0,4,0,0,0.149981252343457,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"81"
"810301",180,810,110,98,0,0,98,0,0,2.22272624177818,0,1,0,29,15,69,23,3,0,23,57,2,42,0,1,52,1,0,49,13,9,3,33,27,58,21,3,0,0,11,1,"81"
"810302",129,614,90,73,0,0,73,0,0,1.78048780487805,0,0,0,3,6,36,0,2,9,29,25,4,11,2,0,51,1,0,23,7,4,0,33,0,55,0,0,0,0,7,0,"81"
"810303",162,820,59,49,0,0,49,0,0,0.834610798841765,0,0,0,0,3,4,1,1,0,2,0,0,0,0,0,48,1,0,0,1,3,0,6,0,30,0,0,0,0,2,0,"81"
"810304",172,828,84,66,0,0,66,0,0,1.40365801786474,0,0,2,0,18,4,2,1,6,8,16,2,11,0,0,48,0,0,19,11,19,0,51,0,24,0,0,0,0,1,0,"81"
"810305",150,710,69,59,0,0,59,0,0,1.65081141578064,0,0,0,5,18,12,4,6,11,23,24,2,23,0,0,31,0,0,28,17,8,0,42,26,36,1,0,0,0,0,0,"81"
"810401",177,813,103,89,0,0,89,0,0,1.39084231911236,0,0,0,0,2,26,4,0,0,0,28,0,5,0,0,87,0,0,2,2,4,2,13,11,57,11,0,0,0,21,0,"81"
"810402",96,430,52,46,0,0,46,0,0,0.915605095541401,0,1,0,0,2,14,1,0,0,1,21,0,2,0,0,45,0,0,1,0,1,0,16,12,27,2,0,0,0,1,1,"81"
"810403",29,147,16,13,0,0,13,0,0,0.105391163356303,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,2,2,0,9,0,0,2,7,3,4,0,0,0,0,0,0,"81"
"810404",201,844,79,68,0,0,68,0,0,0.797653958944281,0,1,0,1,1,9,1,3,1,1,1,0,1,0,0,67,0,0,1,3,2,2,16,1,10,3,0,0,0,0,0,"81"
