"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,9954,17267,2228,1832,0,1832,0,0,0,0.33728613536736,0,2,0,856,332,155,40,228,31,16,1776,382,554,107,8,49,4,0,7,99,183,100,928,276,288,35,3,7,0,134,229
12,844,2458,357,273,0,273,0,0,0,0.0876849252590399,0,0,0,42,75,7,11,2,0,3,271,20,19,3,0,10,0,0,0,20,57,1,139,45,81,6,0,0,0,9,16
13,3653,8653,1379,1111,0,1111,0,0,0,0.257417254602115,0,0,0,320,364,60,41,175,19,22,1049,51,324,77,0,42,0,0,11,71,204,26,785,270,224,34,1,0,1,25,152
14,1598,4687,1145,966,0,966,0,0,0,0.194524713297556,0,0,0,7,80,70,18,99,65,10,825,98,50,3,0,27,2,0,3,81,110,2,257,211,187,114,3,2,0,38,27
15,1477,3860,1079,886,0,886,0,0,0,0.445680769830531,0,0,0,137,40,76,33,63,2,0,850,9,99,4,0,6,0,0,14,32,87,112,429,235,246,45,0,0,0,3,6
16,4331,13186,3396,2843,0,2843,0,0,0,0.61756956075012,0,20,0,562,702,1394,103,212,25,41,2657,69,586,8,2,116,4,0,90,151,313,6,1091,980,1051,294,9,4,0,132,233
17,218,488,154,118,0,118,0,0,0,0.0838634021534416,0,0,0,39,11,35,1,4,0,0,116,2,9,1,0,1,0,0,5,8,14,2,62,40,40,22,0,0,0,0,1
18,978,2674,799,591,0,591,0,0,0,0.245979422635101,0,0,0,1,1,25,2,102,223,107,219,70,84,1,0,0,0,0,33,4,24,30,99,144,185,2,0,0,0,2,0
19,2575,7976,1634,1300,0,1300,0,0,0,0.328790128202858,0,2,0,166,233,257,92,147,48,17,1212,172,521,8,0,32,0,0,50,124,167,23,443,439,442,157,7,0,0,30,62
20,1671,3903,619,524,0,524,0,0,0,0.0899912241382567,0,0,0,30,101,73,14,106,38,19,437,55,111,10,1,25,1,1,30,69,70,7,184,183,170,36,1,0,0,50,15
