village_ID,village_name
25096206,ชุมชนบ้านต้นโพธิ์
25096207,ชุมชนบ้านด่าน
25096208,ชุมชนบ้านหนองสะแก
13010201,คลองบ้านใหม่
13010202,คลองบางตะองค์
13010203,คลองรังสิตฝั่งเหนือ
13010204,คลองรังสิตฝั่งใต้
13010205,บางกะต้น
13010206,บางสานฝั่งเหนือ
13010301,ทุ่งตาล
13010302,ใหม่
13010303,มะขาม
13010304,ม่วง
13010305,กลาง
13010401,คลองบางโพธิ์เหนือฝั่งใต้
13010402,หมู่บ้านเจ้าคุณ
13010403,คลองบางหลวง
13010501,คลองพลับ
13010502,เตาอิฐ
13010503,คลองบ้านกระแชง
13010504,โผลงเผลง
13010601,ต้นโพธิ์
13010602,บางขะแยง
13010603,ตลาดใต้
13010604,บางนางบุญ
13010701,ปลายบัว
13010702,คลองโพธิ์
13010703,คุ้งวัด
13010704,คลองบางคูวัด
13010705,เกาะเกรียง
13010706,บางตะไนย์
13010707,ศาลเจ้า
13010708,ไผ่ล้อม
13010709,ตีนเลน
13010710,บางนางบุญ
13010711,ฝั่งกลาง
13010712,พะโอย
13010801,ทำนบบางหลวง
13010802,คลองบางหลวง
13010804,คลองบางโพธิ์
13010805,คลองบางโพธิ์
13010806,ทำนบบางโพธิ์
13010807,ปลายคลองบางโพธิ์
13010901,บางโพธิ์ใต้
13010902,คลองบางโพธิ์ฝั่งใต้
13010903,หนองปรง
13010904,คลองบางโพธิ์
13010905,บางเดื่อ
13010906,น้ำวน
13010907,คลองบางโพธิ์ฝั่งใต้
13011001,คลองเปรมเหนือ
13011002,โรงหีบ
13011003,คลองเปรมใต้
13011004,คลองขนุน
13011005,คลองโคลน
13011006,ท่ากะชะ
13011101,ตลาดบางพูน
13011102,คลองเปรมประชากร
13011103,บางแขยง
13011104,บางพูน
13011105,คลองรังสิต
13011106,คลองรังสิต
13011201,เกริน
13011202,โคกมะพลู
13011203,กางซอง
13011204,บางลำพู
13011205,บางงิ้ว
13011301,คลองนา
13011302,คลองบางสิงห์
13011303,คลองบางหลวง
13011304,คลองเปรม
13011305,บางเลียบ
13011306,ต้นโพธิ์
13011307,สวนพริกไทย
13011308,คลองบางสิงห์
13011401,คลองคูกลาง
13011402,คลองกวางตุ้ง
13011403,คลองเปรมประชากร
13011404,คลองรังสิตประยูรศักดิ์
13011405,คลองรังสิต
13011406,คลองสิบศอก
13011407,คลองเปรม
13015101,ชุมชนคลองพิกุล
13015102,ชุมชนโสภาราม
13015103,ชุมชนวัดโคก
13015104,ชุมชนประปาเก่า
13015105,ชุมชนวัดหงษ์ปทุมวาส
13015106,ชุมชนบางปรอก
13015107,ชุมชนวัดฉาง
13015108,ชุมชนสามเรือนถาวร
